Unnamed: 0,省内E特快,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
返回目录,国家/地区,参考时效,分区,重量(KG),进位制(KG),最低计费重(KG),首重,续重,处理费(RMB/票)
,③对于非我司原因造成的包裹丢失，我司将协助客户向相应责任方进行索赔并回馈索赔情况，,,,,,,,,
,但索赔进度及结果不在我司可控范围之内，我司对可能出现的处理延误或索赔未果不承担责任。,,,,,,,,
,九、赔偿相关事项,,,,,,,,
,1.赔偿受理截止时间：云途发货后30天内必须提出申请，超过30天不再受理,,,,,,,,
,2.赔偿标准：,,,,,,,,
,①（未上网）邮局未提取上网，退运费；按系统申报价值赔偿，最高不超过400RMB/票,,,,,,,,
,②（已上网）邮局提取转运后丢失，我司不接受赔偿，但会协助向邮局开查索赔，邮局确认丢件后，按邮局赔付金额为准,,,,,,,,
,3.索赔资料以及要求：,,,,,,,,
,①未上网（包裹在我司中转过程中丢失，经我司确认丢件的）：不需要提供赔偿资料,,,,,,,,
,②已上网，向邮局开查索赔，客户需提供：收件人信息、内件品名及申报价值,,,,,,,,
,③所有包裹在经云途确认丢失之日起30天内需提出索赔，逾期不再受理,,,,,,,,
,3.免赔情形：,,,,,,,,
,①所有赔偿必须经过开查流程，未经开查流程，不提供赔偿。,,,,,,,,
,②因客户原因造成破损、错发、误发、漏发货物、货物质量问题、双面单、重单、包装不符等产生的损失，云途不予赔偿。,,,,,,,,
